"direction","gene_symbol"
"mature_positive","RAB42"
"mature_positive","RAB7B"
"mature_positive","RACGAP1"
"mature_positive","RANBP6"
"mature_positive","RARRES1"
"mature_positive","RASGRP3"
"mature_positive","RB1"
"mature_positive","RBM38"
"mature_positive","RBSN"
"mature_positive","RCL1"
"mature_positive","RDH16"
"mature_positive","REEP5"
"mature_positive","RGCC"
"mature_positive","RHBDF2"
"mature_positive","RNF112"
"mature_positive","RNF182"
"mature_positive","RP2"
"mature_positive","RTKN2"
"mature_positive","S100B"
"mature_positive","SACS"
"mature_positive","SARM1"
"mature_positive","SCG5"
"mature_positive","SDC2"
"mature_positive","SEPTIN7"
"mature_positive","SERPINE1"
"mature_positive","SH3BGRL3"
"mature_positive","SIGLEC1"
"mature_positive","SIGLEC9"
"mature_positive","SLAMF7"
"mature_positive","SLAMF8"
"mature_positive","SLC18A1"
"mature_positive","SLC28A3"
"mature_positive","SLC2A13"
"mature_positive","SLC30A1"
"mature_positive","SLC35E4"
"mature_positive","SLC38A6"
"mature_positive","SLC47A1"
"mature_positive","SLFN11"
"mature_positive","SLN"
"mature_positive","SLPI"
"mature_positive","SLX4"
"mature_positive","SMAD4"
"mature_positive","SMARCD2"
"mature_positive","SMPD2"
"mature_positive","SMPD4"
"mature_positive","SNAPIN"
"mature_positive","SNX32"
"mature_positive","SOCS7"
"mature_positive","SPARC"
"mature_positive","SPDL1"
"mature_positive","SPOCD1"
"mature_positive","SPOP"
"mature_positive","SPP1"
"mature_positive","SPRY2"
"mature_positive","SPTAN1"
"mature_positive","SREBF1"
"mature_positive","SRF"
"mature_positive","STARD13"
"mature_positive","STXBP3"
"mature_positive","SUCNR1"
"mature_positive","TAX1BP3"
"mature_positive","TBC1D24"
"mature_positive","TBC1D4"
"mature_positive","TBC1D8B"
"mature_positive","TBCEL"
"mature_positive","TBL2"
"mature_positive","TCEAL9"
"mature_positive","TEX264"
"mature_positive","TFF2"
"mature_positive","TFIP11"
"mature_positive","TGM2"
"mature_positive","THEMIS"
"mature_positive","TIE1"
"mature_positive","TIMM17A"
"mature_positive","TIMM17B"
"mature_positive","TINF2"
"mature_positive","TLR8"
"mature_positive","TMEM121"
"mature_positive","TMEM176B"
"mature_positive","TMEM191C"
"mature_positive","TMEM218"
"mature_positive","TNIP2"
"mature_positive","TNS3"
"mature_positive","TPRA1"
"mature_positive","TPRG1L"
"mature_positive","TREM2"
"mature_positive","TRIM41"
"mature_positive","TRPC3"
"mature_positive","TRRAP"
"mature_positive","TSPAN14"
"mature_positive","TTC7B"
"mature_positive","TTI1"
"mature_positive","TUBA1B"
"mature_positive","TUSC1"
"mature_positive","UNC50"
"mature_positive","UQCR10"
"mature_positive","USP14"
"mature_positive","USP19"
"mature_positive","USP30"
"mature_positive","USP36"
"mature_positive","USP51"
"mature_positive","VEZT"
"mature_positive","VPS26C"
"mature_positive","VSIG4"
"mature_positive","WDR81"
"mature_positive","WIPF2"
"mature_positive","WIPF3"
"mature_positive","YARS2"
"mature_positive","ZBTB3"
"mature_positive","ZBTB4"
"mature_positive","ZC3H12A"
"mature_positive","ZC3H6"
"mature_positive","ZCCHC12"
"mature_positive","ZFAND3"
"mature_positive","ZFP37"
"mature_positive","ZMIZ1-AS1"
"mature_positive","ZMYM3"
"mature_positive","ZMYND15"
"mature_positive","ZNF175"
"mature_positive","ZNF19"
"mature_positive","ZNF224"
"mature_positive","ZNF248"
"mature_positive","ZNF322"
"mature_positive","ZNF382"
"mature_positive","ZNF407"
"mature_positive","ZNF416"
"mature_positive","ZNF571"
"mature_positive","ZNF701"
"mature_positive","ZNF710"
"mature_positive","ZNF711"
"mature_positive","ZNF816"
"mature_positive","ZNRF2"
"immature_negative","AATBC"
"immature_negative","ABHD14B"
"immature_negative","ABHD17B"
"immature_negative","ACTR1A"
"immature_negative","ADGRE1"
"immature_negative","ADGRF5"
"immature_negative","AGO2"
"immature_negative","AGRP"
"immature_negative","AKAP9"
"immature_negative","AKIRIN1"
