"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"LYPD4",-0.202705275333333,-2.05893160486394,0.920452576134026,1.06461824355235,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYPD6B",-0.0771807923333328,-0.884407534403771,0.777809965067352,0.998815385647772,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYPLA1",0.206236766500001,1.40319248201379,-0.581254214000197,-6.20717710101378,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYRM1",0.163536150666669,1.06875610505244,-0.403161341066928,-2.91663512156722,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYRM4",0.0246321246666679,0.173058339108269,-1.13015280859658,-5.07201025403625,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYSMD1",0.102847820333335,0.770652320460741,-1.29180074902958,-1.27097536680436,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYSMD2",-0.658176507999999,-4.82527848574765,0.651360511402673,6.03760823665748,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYSMD3",-0.0697435259999992,-0.600563064485861,1.55068677316976,10.9462099204273,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYVE1",0.213773606333335,1.71788453737569,-0.642762677071063,-0.746700636733182,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LZTR1",-0.0331283413333311,-0.223777513128452,0.0566521927432421,0.305343236463219,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LZTS3",-0.028031741333332,-0.194555585754692,0.25395846764003,0.322965113672586,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MACROD2",-0.191940009999999,-2.22502939386747,0.298270639041434,0.372388948866042,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAD1L1",-0.0488162383333323,-0.209776055301437,1.19194879163236,5.49809483275592,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MADCAM1",0.118862826333334,0.785936400976378,-0.547529034475172,-1.84554425411961,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MADD",0.0262792063333372,0.191276446319369,-0.153779656351546,-1.04754493630333,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAEA",-0.0993450699999968,-0.603167614796478,0.630584806704658,4.8036470864907,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAEL",0.022443012,0.201089792007821,-0.0106428400787804,-0.0108342647756048,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAFG",-0.375485241333333,-2.57780338273912,0.092580697569638,0.228209740204321,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAG",-0.051577292333333,-0.502851061936541,0.232014241099589,0.331651397798588,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAGEA10",-0.0179684379999996,-0.155781045173602,0.425520276171069,0.468632840207164,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAGEC3",-0.172399881333333,-2.07708370567234,0.371508157148533,0.441544174006859,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAGED1",0.848092889333334,5.44462261091048,-0.57127055037814,-2.96840633203192,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"MAGEF1",-0.357041329666666,-2.99752562557732,0.197002169601122,0.626848400422392,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
