"top_n_final_per_direction","direction","consensus_rank","gene_symbol","consensus_mean_percentile","consensus_worst_source_percentile","GSE5099_rank_in_direction","GSE11864_rank_in_direction","GSE5099_percentile_in_direction","GSE11864_percentile_in_direction","selected_in_GSE5099_individual_top200","selected_in_GSE11864_individual_top200","GSE5099_logFC","GSE11864_logFC","GSE5099_moderated_t","GSE11864_moderated_t"
200,"mature_positive",127,"GPR137B",0.0209902263437507,0.0358681798871154,591,114,0.0358681798871154,0.00611227280038604,FALSE,TRUE,1.09664407366667,2.4103995182181,7.07835558810283,17.0650257802795
200,"mature_positive",128,"SETDB2",0.0211812419869236,0.030406020513443,501,223,0.030406020513443,0.0119564634604043,FALSE,FALSE,1.26653244625,2.32379060389233,7.79255874635413,13.8865781859884
200,"mature_positive",129,"SLC26A11",0.0212333697024983,0.0299204952357832,493,234,0.0299204952357832,0.0125462441692134,FALSE,FALSE,1.291854883,1.66761961705731,7.83989147804701,13.6645581894233
200,"mature_positive",130,"NR1H3",0.0213560835416254,0.0350651439601094,126,654,0.00764702312314135,0.0350651439601094,TRUE,FALSE,2.65718830933334,1.59392618675749,13.5371151994676,8.32161551796635
200,"mature_positive",131,"MMP9",0.0217667241400804,0.0432117497117194,712,6,0.0432117497117194,0.00032169856844137,FALSE,TRUE,0.741561683333334,4.79613551812971,6.38657229526259,41.1669161483113
200,"mature_positive",132,"FABP3",0.02196818354886,0.0236693572859137,390,378,0.0236693572859137,0.0202670098118063,FALSE,FALSE,1.065301236,4.88337359036431,8.74679248767033,10.9135529842144
200,"mature_positive",133,"NRP2",0.0230855655942721,0.0231086804997051,380,431,0.023062450688839,0.0231086804997051,FALSE,FALSE,1.0256696324,4.09233915191268,8.84539401878835,10.3624268418376
200,"mature_positive",134,"CRHBP",0.0233158702313492,0.0347970618197416,195,649,0.0118346786429568,0.0347970618197416,TRUE,FALSE,1.64678931933333,4.05840260304761,11.7216321499805,8.38476308999744
200,"mature_positive",135,"IGF2R",0.0233806349195781,0.0285853007222189,471,339,0.0285853007222189,0.0181759691169374,FALSE,FALSE,1.18423961466667,1.2940575592774,8.04861285080491,11.5082703625315
200,"mature_positive",136,"ADAMDEC1",0.0235634341713639,0.0423013898161073,697,90,0.0423013898161073,0.00482547852662056,FALSE,TRUE,1.46105639333333,4.16920166309382,6.47057467879314,18.5575888729312
200,"mature_positive",137,"CREG1",0.0235995781584263,0.0258967347595303,351,483,0.0213024215573223,0.0258967347595303,FALSE,FALSE,1.07010670333333,0.807392696616856,9.10673911448709,9.77495958578456
200,"mature_positive",138,"CD163",0.0236935687948705,0.0399344540875159,658,139,0.0399344540875159,0.00745268350222508,FALSE,TRUE,1.222874872,1.61927609700509,6.71186815278208,16.1555995208927
200,"mature_positive",139,"GM2A",0.0239132962516689,0.0455203474344539,38,849,0.0023062450688839,0.0455203474344539,TRUE,FALSE,2.97320467341667,0.862743948729674,20.546479659847,7.23252045624624
200,"mature_positive",140,"HGF",0.0240397033993997,0.0449841831537183,51,839,0.00309522364508102,0.0449841831537183,TRUE,FALSE,2.38601461413333,1.46188080877109,18.8580562254482,7.28457370227069
200,"mature_positive",141,"TDP2",0.0242971172470298,0.0466104266553377,768,37,0.0466104266553377,0.00198380783872178,FALSE,TRUE,0.995410936666667,2.32264816980423,6.13458487293869,24.7717634548217
200,"mature_positive",142,"EPHX1",0.0243260308096715,0.0461637445713367,41,861,0.00248831704800631,0.0461637445713367,TRUE,FALSE,3.24942698966667,1.16329622084681,19.905007037707,7.18274140918861
200,"mature_positive",143,"PEBP1",0.0246877456446805,0.0393008417779208,166,733,0.0100746495114402,0.0393008417779208,TRUE,FALSE,2.26948433511111,1.00017940821422,12.4211233745046,7.80905968600128
200,"mature_positive",144,"ADORA3",0.0247320262997284,0.0310736177702252,512,343,0.0310736177702252,0.0183904348292317,FALSE,FALSE,2.29341765783333,3.04070045921564,7.68166203469798,11.4033639322323
200,"mature_positive",145,"GON7",0.0248941967146038,0.0324915554125784,285,606,0.0172968380166292,0.0324915554125784,FALSE,FALSE,0.974582298000001,1.14163573316282,9.92875498360754,8.71969469249644
200,"mature_positive",146,"FUNDC1",0.0251797854631549,0.0382821296445231,199,714,0.0120774412817867,0.0382821296445231,TRUE,FALSE,1.405606267,1.41953835591432,11.6470455059245,7.9112006994564
200,"mature_positive",147,"NPC2",0.0253958960807348,0.035564726588578,586,284,0.035564726588578,0.0152270655728915,FALSE,FALSE,0.758659406666669,0.922935586291809,7.13931763806578,12.4933031154589
200,"mature_positive",148,"ZNF112",0.0254551208060581,0.0331885689775347,292,619,0.0177216726345815,0.0331885689775347,FALSE,FALSE,1.05024711533333,3.52462808547614,9.85070048883661,8.58413571897975
200,"mature_positive",149,"C1QB",0.0254676015859256,0.0389791432094794,197,727,0.0119560599623718,0.0389791432094794,TRUE,FALSE,3.26628030566667,1.48514381845315,11.6688497903809,7.85312888513708
200,"mature_positive",150,"LINC00865",0.0255729536205987,0.0266431996115798,439,457,0.0266431996115798,0.0245027076296177,FALSE,FALSE,0.788555716,2.51708088851414,8.28331681274501,10.0377363325659
200,"mature_positive",151,"SGMS1",0.0256446021805027,0.0467318079747527,770,85,0.0467318079747527,0.00455739638625275,FALSE,TRUE,1.69387906466667,1.98391294552605,6.13088073647422,18.7972520154389
200,"mature_positive",152,"ACSL3",0.0256948832417756,0.0347150573526734,572,311,0.0347150573526734,0.0166747091308777,FALSE,FALSE,1.02106269388889,1.97761397744486,7.24678002679252,11.8820671549536
200,"mature_positive",153,"GAS6",0.0264232053254373,0.0428931424588494,164,800,0.00995326819202525,0.0428931424588494,TRUE,FALSE,2.29952975933334,2.32603271551738,12.4639407430715,7.48690298813007
200,"mature_positive",154,"CYFIP1",0.0264283759574825,0.0422406991563998,696,198,0.0422406991563998,0.0106160527585652,FALSE,TRUE,0.742661566666666,1.56905412250784,6.47714497162239,14.4819811065812
200,"mature_positive",155,"SEPHS2",0.026531690977895,0.0486132184256843,801,83,0.0486132184256843,0.00445016353010562,FALSE,TRUE,1.161945771,1.80649568623937,6.02481241437741,18.9790184726148
200,"mature_positive",156,"PRKACB",0.0266471743926013,0.0500777438207067,53,934,0.00321660496449596,0.0500777438207067,TRUE,FALSE,2.54259012025,1.11036866013165,18.7620054751804,6.86708516995804
200,"mature_positive",157,"MANEA",0.0269990279309376,0.0475041552731757,107,886,0.0064939005886994,0.0475041552731757,TRUE,FALSE,1.22466401633333,2.23296915171442,14.7188937709544,7.03357978403461
200,"mature_positive",158,"A2M",0.0271509335511077,0.0419816631815988,203,783,0.0123202039206166,0.0419816631815988,FALSE,FALSE,4.15452428366666,2.88897515180209,11.4864163386923,7.57589562264338
200,"mature_positive",159,"FCGR2B",0.0272947903617349,0.0515870607513504,850,56,0.0515870607513504,0.00300251997211946,FALSE,TRUE,0.898683175333334,3.66828752239723,5.83565679889189,22.2806700765679
200,"mature_positive",160,"PIR",0.0273288631673645,0.0484918371062693,799,115,0.0484918371062693,0.0061658892284596,FALSE,TRUE,1.057586844,5.55846511774045,6.02887465629506,17.030474720416
200,"mature_positive",161,"OSBPL1A",0.0276346121744656,0.0535091952174146,29,998,0.00176002913151666,0.0535091952174146,TRUE,FALSE,3.00100466083333,1.13409450958237,21.6963792687243,6.61099825974807
200,"mature_positive",162,"HSPB1",0.027696567019541,0.0318019056867148,524,440,0.0318019056867148,0.0235912283523672,FALSE,FALSE,1.24207167366667,1.96080407606703,7.58726862195353,10.2602406933616
200,"mature_positive",163,"IGSF6",0.0278229741672717,0.0325908842629119,537,430,0.0325908842629119,0.0230550640716315,FALSE,FALSE,0.975390313666668,1.14178339720643,7.47442972878712,10.3673155995737
200,"mature_positive",164,"KIFAP3",0.028122498241017,0.0483097651271469,796,148,0.0483097651271469,0.00793523135488714,FALSE,TRUE,0.898892232333334,2.66772321355462,6.04015315944178,15.7781143399767
200,"mature_positive",165,"HSD17B14",0.0282457831600207,0.0401050881990242,270,748,0.0163864781210172,0.0401050881990242,FALSE,FALSE,1.36845042533333,3.00992939395555,10.1289684090971,7.75170524941547
200,"mature_positive",166,"CTSV",0.0282941720107622,0.0287920218755027,458,537,0.0277963221460217,0.0287920218755027,FALSE,FALSE,1.09036568,2.32628365819333,8.13923476152789,9.26986261729704
200,"mature_positive",167,"ABHD3",0.0284704681107907,0.0317412150270073,523,470,0.0317412150270073,0.025199721194574,FALSE,FALSE,1.049920462,0.889266320272422,7.58741001072195,9.88304487904915
200,"mature_positive",168,"IFIT1",0.028632604358494,0.0441828002670389,728,244,0.0441828002670389,0.0130824084499491,FALSE,FALSE,1.167557177,2.82937249219374,6.30065218622639,13.392663212649
200,"mature_positive",169,"SLC27A1",0.0286704274180141,0.0368881025146105,337,688,0.0204527523214177,0.0368881025146105,FALSE,FALSE,1.76651237333333,1.0970002215753,9.30008861534062,8.03739498331902
200,"mature_positive",170,"NCEH1",0.0287260466931763,0.0549857376949687,906,46,0.0549857376949687,0.00246635569138384,FALSE,TRUE,0.603762308666667,2.70095796184189,5.65084861919115,23.6129002571746
200,"mature_positive",171,"MGME1",0.0289757387599107,0.0341000482547853,393,636,0.0238514292650361,0.0341000482547853,FALSE,FALSE,1.641994714,1.05548039954561,8.7341043150591,8.45105328884131
200,"mature_positive",172,"GALM",0.0290420377168679,0.0519543188032813,101,969,0.00612975663045457,0.0519543188032813,TRUE,FALSE,2.55580510066667,1.48859063503031,14.9556831226896,6.72721700476681
200,"mature_positive",173,"CD14",0.0293443374665947,0.0347757480123809,573,446,0.0347757480123809,0.0239129269208085,FALSE,FALSE,0.806821266666668,0.663877088612937,7.2353842692506,10.1758732825674
200,"mature_positive",174,"ZSCAN26",0.0295120820115478,0.0296498847246796,484,553,0.029374279298416,0.0296498847246796,FALSE,FALSE,1.062914807,2.71632690457871,7.95839846300157,9.11916751096566
200,"mature_positive",175,"LILRB5",0.0295476776968483,0.0585491394563294,9,1092,0.000546215937367239,0.0585491394563294,TRUE,FALSE,4.153243732,3.51899483083565,28.8922675763874,6.27908512469924
200,"mature_positive",176,"KIAA0930",0.0296557940184456,0.0368999211021424,608,418,0.0368999211021424,0.0224116669347488,FALSE,FALSE,0.927819008916667,1.1426263480584,6.99396806876452,10.4177588731887
200,"mature_positive",177,"ABCG1",0.0298109129798018,0.0540989759262238,91,1009,0.00552285003337986,0.0540989759262238,TRUE,FALSE,2.88709323891667,1.4147859837182,15.4408019951101,6.56232277822807
200,"mature_positive",178,"CD63",0.0300351944325394,0.0447897068641136,738,285,0.0447897068641136,0.0152806820009651,FALSE,FALSE,0.647584720000002,1.22502349876369,6.25889738834514,12.444896069388
200,"mature_positive",179,"BCAP31",0.0301459644045034,0.0448503975238211,739,288,0.0448503975238211,0.0154415312851858,FALSE,FALSE,0.937448420000001,1.15918989451629,6.25850176818384,12.3994014152679
200,"mature_positive",180,"LY86",0.0301506664581883,0.0521687845155756,134,973,0.00813254840080112,0.0521687845155756,TRUE,FALSE,2.381319064,0.547582265067711,13.2430123027795,6.71757833437632
200,"mature_positive",181,"ANXA4",0.0302250679159591,0.058627177277417,966,34,0.058627177277417,0.0018229585545011,FALSE,TRUE,1.10232068866667,2.0528913830339,5.44503169761655,25.276772776907
200,"mature_positive",182,"IQGAP2",0.0303208059592052,0.0385502117848909,364,719,0.0220914001335195,0.0385502117848909,FALSE,FALSE,1.43080204016667,2.08626583312703,8.99559553664695,7.88836707494573
200,"mature_positive",183,"CYSTM1",0.0309582254679777,0.037628209018632,620,453,0.037628209018632,0.0242882419173235,FALSE,FALSE,1.006939869,1.14312795348028,6.91836703454956,10.0748195886176
200,"mature_positive",184,"RENBP",0.0310909681856217,0.0339260787764763,559,527,0.0339260787764763,0.028255857594767,FALSE,FALSE,1.49599041233333,1.60207313320817,7.3162817445743,9.32117557846774
200,"mature_positive",185,"KLHL6",0.0312551983928725,0.0515253873786928,181,961,0.0109850094070523,0.0515253873786928,TRUE,FALSE,1.616209817,1.24550224283241,12.0177223833017,6.7700087306933
200,"mature_positive",186,"ZNF704",0.0313106728643053,0.0488445659750147,227,911,0.0137767797535959,0.0488445659750147,FALSE,FALSE,1.06628421973333,3.93113452010623,10.8274913835616,6.9343322774179
200,"mature_positive",187,"AP1B1",0.031366337695697,0.0493807302557504,220,921,0.0133519451356436,0.0493807302557504,FALSE,FALSE,1.47155295233333,0.889786934298232,11.0441029299719,6.90841842954393
200,"mature_positive",188,"TMEM37",0.0313901570956787,0.0416599646131575,348,777,0.0211203495781999,0.0416599646131575,FALSE,FALSE,1.2296044295,2.74752569087382,9.152057761025,7.6110198236417
200,"mature_positive",189,"TLR4",0.0313971971601405,0.0474600958912423,782,286,0.0474600958912423,0.0153342984290387,FALSE,FALSE,1.00517792525,1.28296719342949,6.08618408204098,12.4140483486462
200,"mature_positive",190,"ZNF331",0.0314712862323377,0.0519512047095952,856,205,0.0519512047095952,0.0109913677550802,FALSE,FALSE,0.841133086666668,2.11050731301434,5.80833478339359,14.3656405500803
200,"mature_positive",191,"ME1",0.0314722152540173,0.053347089882867,879,179,0.053347089882867,0.00959734062516755,FALSE,TRUE,0.975744212111111,3.26860963549278,5.74171458535703,14.9413595560511
200,"mature_positive",192,"BBS2",0.0315018560893224,0.0404267867674655,372,754,0.0225769254111792,0.0404267867674655,FALSE,FALSE,1.18494342266667,1.13188752052637,8.92028237378805,7.70986216389184
200,"mature_positive",193,"TESK2",0.0317414395541383,0.0340474600958912,561,549,0.0340474600958912,0.0294354190123854,FALSE,FALSE,0.962349685000001,1.51967847643206,7.31004244311302,9.1525536916082
200,"mature_positive",194,"CDCA7L",0.0317511446580243,0.0481475524100584,253,898,0.0153547369059902,0.0481475524100584,FALSE,FALSE,2.79618838033333,1.18884904901863,10.4445268517424,6.98862836702838
