gene_set,source,gene
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ABCA1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC39A10
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC7A8
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ECM1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IFI16
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC40A1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,APOC1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CPM
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZFYVE26
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LY9
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RRAGD
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RPS6KA2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PLAU
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SMS
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PLPP3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SPIRE1
