"source_set","direction","gene_symbol"
"GSE11864_Macrophage","mature_positive","MCEE"
"GSE11864_Macrophage","mature_positive","ME3"
"GSE11864_Macrophage","mature_positive","MED14"
"GSE11864_Macrophage","mature_positive","MED28"
"GSE11864_Macrophage","mature_positive","MEGF8"
"GSE11864_Macrophage","mature_positive","MIR663AHG"
"GSE11864_Macrophage","mature_positive","MRPL27"
"GSE11864_Macrophage","mature_positive","MRPS28"
"GSE11864_Macrophage","mature_positive","MTG1"
"GSE11864_Macrophage","mature_positive","MTMR10"
"GSE11864_Macrophage","mature_positive","MTX2"
"GSE11864_Macrophage","mature_positive","MYDGF"
"GSE11864_Macrophage","mature_positive","MYL6"
"GSE11864_Macrophage","mature_positive","NAA30"
"GSE11864_Macrophage","mature_positive","NAPEPLD"
"GSE11864_Macrophage","mature_positive","NHSL2"
"GSE11864_Macrophage","mature_positive","NOSIP"
"GSE11864_Macrophage","mature_positive","NQO1"
"GSE11864_Macrophage","mature_positive","NTPCR"
"GSE11864_Macrophage","mature_positive","NUBP1"
"GSE11864_Macrophage","mature_positive","NUP43"
"GSE11864_Macrophage","mature_positive","ORMDL2"
"GSE11864_Macrophage","mature_positive","OXNAD1"
"GSE11864_Macrophage","mature_positive","P4HA2"
"GSE11864_Macrophage","mature_positive","PARG"
"GSE11864_Macrophage","mature_positive","PDCD7"
"GSE11864_Macrophage","mature_positive","PDE2A"
"GSE11864_Macrophage","mature_positive","PEX14"
"GSE11864_Macrophage","mature_positive","PI4K2A"
"GSE11864_Macrophage","mature_positive","PILRA"
"GSE11864_Macrophage","mature_positive","PIN4"
"GSE11864_Macrophage","mature_positive","PITHD1"
"GSE11864_Macrophage","mature_positive","PNMA1"
"GSE11864_Macrophage","mature_positive","POGZ"
"GSE11864_Macrophage","mature_positive","PPP1R21"
"GSE11864_Macrophage","mature_positive","PRKAR2A"
"GSE11864_Macrophage","mature_positive","PRKCI"
"GSE11864_Macrophage","mature_positive","PTER"
"GSE11864_Macrophage","mature_positive","PUM2"
"GSE11864_Macrophage","mature_positive","PUS3"
"GSE11864_Macrophage","mature_positive","RACGAP1"
"GSE11864_Macrophage","mature_positive","RB1"
"GSE11864_Macrophage","mature_positive","RBSN"
"GSE11864_Macrophage","mature_positive","RDX"
"GSE11864_Macrophage","mature_positive","REEP5"
"GSE11864_Macrophage","mature_positive","RNF182"
"GSE11864_Macrophage","mature_positive","RP2"
"GSE11864_Macrophage","mature_positive","SACS"
"GSE11864_Macrophage","mature_positive","SEPTIN7"
"GSE11864_Macrophage","mature_positive","SIGLEC1"
"GSE11864_Macrophage","mature_positive","SIGLEC9"
"GSE11864_Macrophage","mature_positive","SLAMF7"
"GSE11864_Macrophage","mature_positive","SLC2A13"
"GSE11864_Macrophage","mature_positive","SLC30A1"
"GSE11864_Macrophage","mature_positive","SLFN11"
